id,code,name,name_th,created_at,updated_at
1,10,Bangkok,กรุงเทพมหานคร,28:57.3,28:57.3
2,11,Samut Prakarn,สมุทรปราการ,28:57.3,28:57.3
3,12,Nonthaburi,นนทบุรี,28:57.3,28:57.3
4,13,Pathum Thani,ปทุมธานี,28:57.3,28:57.3
5,14,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,28:57.3,28:57.3
6,15,Ang Thong,อ่างทอง,28:57.3,28:57.3
7,16,Lop Buri,ลพบุรี,28:57.3,28:57.3
8,17,Sing Buri,สิงห์บุรี,28:57.3,28:57.3
9,18,Chai Nat,ชัยนาท,28:57.3,28:57.3
10,19,Saraburi,สระบุรี,28:57.3,28:57.3
11,20,Chon Buri,ชลบุรี,28:57.3,28:57.3
12,21,Rayong,ระยอง,28:57.3,28:57.3
13,22,Chanthaburi,จันทบุรี,28:57.3,28:57.3
14,23,Trat,ตราด,28:57.3,28:57.3
15,24,Chachoengsao,ฉะเชิงเทรา,28:57.3,28:57.3
16,25,Prachin Buri,ปราจีนบุรี,28:57.3,28:57.3
17,26,Nakhon Nayok,นครนายก,28:57.3,28:57.3
18,27,Sa kaeo,สระแก้ว,28:57.3,28:57.3
19,30,Nakhon Ratchasima,นครราชสีมา,28:57.3,28:57.3
20,31,Buri Ram,บุรีรัมย์,28:57.3,28:57.3
21,32,Surin,สุรินทร์,28:57.3,28:57.3
22,33,Si Sa Ket,ศรีสะเกษ,28:57.3,28:57.3
23,34,Ubon Ratchathani,อุบลราชธานี,28:57.3,28:57.3
24,35,Yasothon,ยโสธร,28:57.3,28:57.3
25,36,Chaiyaphum,ชัยภูมิ,28:57.3,28:57.3
26,37,Amnat Charoen,อำนาจเจริญ,28:57.3,28:57.3
27,38,Bueng Kan,บึงกาฬ,28:57.3,28:57.3
28,39,Nong Bua Lam Phu,หนองบัวลำภู,28:57.3,28:57.3
29,40,Khon Kaen,ขอนแก่น,28:57.3,28:57.3
30,41,Udon Thani,อุดรธานี,28:57.3,28:57.3
31,42,Loei,เลย,28:57.3,28:57.3
32,43,Nong Khai,หนองคาย,28:57.3,28:57.3
33,44,Maha Sarakham,มหาสารคาม,28:57.3,28:57.3
34,45,Roi Et,ร้อยเอ็ด,28:57.3,28:57.3
35,46,Kalasin,กาฬสินธุ์,28:57.3,28:57.3
36,47,Sakon Nakhon,สกลนคร,28:57.3,28:57.3
37,48,Nakhon Phanom,นครพนม,28:57.3,28:57.3
38,49,Mukdahan,มุกดาหาร,28:57.3,28:57.3
39,50,Chiang Mai,เชียงใหม่,28:57.3,28:57.3
40,51,Lamphun,ลำพูน,28:57.3,28:57.3
41,52,Lampang,ลำปาง,28:57.3,28:57.3
42,53,Uttaradit,อุตรดิตถ์,28:57.3,28:57.3
43,54,Phrae,แพร่,28:57.3,28:57.3
44,55,Nan,น่าน,28:57.3,28:57.3
45,56,Phayao,พะเยา,28:57.3,28:57.3
46,57,Chiang Rai,เชียงราย,28:57.3,28:57.3
47,58,Mae Hong Son,แม่ฮ่องสอน,28:57.3,28:57.3
48,60,Nakhon Sawan,นครสวรรค์,28:57.3,28:57.3
49,61,Uthai Thani,อุทัยธานี,28:57.3,28:57.3
50,62,Kamphaeng Phet,กำแพงเพชร,28:57.3,28:57.3
51,63,Tak,ตาก,28:57.3,28:57.3
52,64,Sukhothai,สุโขทัย,28:57.3,28:57.3
53,65,Phitsanulok,พิษณุโลก,28:57.3,28:57.3
54,66,Phichit,พิจิตร,28:57.3,28:57.3
55,67,Phetchabun,เพชรบูรณ์,28:57.3,28:57.3
56,70,Ratchaburi,ราชบุรี,28:57.3,28:57.3
57,71,Kanchanaburi,กาญจนบุรี,28:57.3,28:57.3
58,72,Suphan Buri,สุพรรณบุรี,28:57.3,28:57.3
59,73,Nakhon Pathom,นครปฐม,28:57.3,28:57.3
60,74,Samut Sakhon,สมุทรสาคร,28:57.3,28:57.3
61,75,Samut Songkhram,สมุทรสงคราม,28:57.3,28:57.3
62,76,Phetchaburi,เพชรบุรี,28:57.3,28:57.3
63,77,Prachuap Khiri Khan,ประจวบคีรีขันธ์,28:57.3,28:57.3
64,80,Nakhon Si Thammarat,นครศรีธรรมราช,28:57.3,28:57.3
65,81,Krabi,กระบี่,28:57.3,28:57.3
66,82,Phang-nga,พังงา,28:57.3,28:57.3
67,83,Phuket,ภูเก็ต,28:57.3,28:57.3
68,84,Surat Thani,สุราษฎร์ธานี,28:57.3,28:57.3
69,85,Ranong,ระนอง,28:57.3,28:57.3
70,86,Chumphon,ชุมพร,28:57.3,28:57.3
71,90,Songkhla,สงขลา,28:57.3,28:57.3
72,91,Satun,สตูล,28:57.3,28:57.3
73,92,Trang,ตรัง,28:57.3,28:57.3
74,93,Phatthalung,พัทลุง,28:57.3,28:57.3
75,94,Pattani,ปัตตานี,28:57.3,28:57.3
76,95,Yala,ยะลา,28:57.3,28:57.3
77,96,Narathiwat,นราธิวาส,28:57.3,28:57.3
